Societe;Facture;Date d'echeance;Montant du;Montant total;Client;Document d'origine
Codigaz sarl;FAC/2021/0089;2021-02-22;5572500.32;5572500.32;Quincaillerie de La Mer;VCDG2256
Cheinmalt distribution;FAC/2021/1123;2021-02-26;8211714.36;8211714.36;PHOTO CHIC;VCHD15454
Cheinmalt distribution;FAC/2021/1122;2021-02-26;1813536.0;1813536.0;ADVENTURE TOURS SARL;VCHD15425
Cheinmalt distribution;FAC/2021/1121;2021-02-26;122601.6;122601.6;ALL TRADE;VCHD15508
Cheinmalt distribution;FAC/2021/1120;2021-02-26;1042488.0;1042488.0;TRANOMBAROTRA SOA VY;VCHD15491
Cheinmalt distribution;FAC/2021/1118;2021-02-26;66780.0;66780.0;TROPICAL WOOD;VCHD15505
Quincaillerie de La Mer;FAC/2021/2204;2021-02-26;415533.24;415533.24;QUINCAILLERIE ARENA;VQLM53952
Quincaillerie de La Mer;FAC/2021/2202;2021-02-26;378000.0;378000.0;PALM BEACH RESORT & SPA;VQLM54053
Quincaillerie de La Mer;FAC/2021/2201;2021-02-26;34500.0;34500.0;ROBERT;VQLM54052
Codigaz sarl;FAC/2021/0093;2021-02-26;1867500.12;1867500.12;REHANA;VCDG2258
Quincaillerie de La Mer;FAC/2021/2199;2021-02-26;66999.96;66999.96;LEONG BTP ;VQLM54047
Cheinmalt distribution;FAC/2021/1116;2021-02-26;416275.2;416275.2;WU CHAO YING STEPHANE;VCHD15502
Cheinmalt distribution;FAC/2021/1117;2021-02-26;199215.0;199215.0;HASSANALY RAMDJEE FAROUK ALY;VCHD15504
Quincaillerie de La Mer;FAC/2021/2195;2021-02-26;1535000.04;1535000.04;EMCG SARLU;VQLM54042
Cheinmalt distribution;FAC/2020/3876;2020-09-04;121581450.0;336000000.0;TRANOMBAROTRA YOUNOUS TULEAR;VCHD11785
Codigaz sarl;FAC/2021/0091;2021-02-26;4752500.28;4752500.28;Quincaillerie de La Mer;VCDG2260
Quincaillerie de La Mer;FAC/2021/2186;2021-02-26;361700.05;361700.05;DIDIER BUET;VQLM53767
Quincaillerie de La Mer;FAC/2021/2185;2021-02-26;222900.03;222900.03;DIDIER BUET;VQLM53975
Quincaillerie de La Mer;FAC/2021/2184;2021-02-26;833850.02;833850.02;BHAIDJY Mourtouza;VQLM53993
Cheinmalt distribution;FAC/2021/1114;2021-02-25;3607740.0;3607740.0;Quincaillerie de La Mer;VCHD15499
Cheinmalt distribution;FAC/2021/1113;2021-02-25;767927.81;767927.81;QUINCAILLERIE ALMAZ;VCHD15497
Cheinmalt distribution;FAC/2021/1115;2021-02-25;3935952.0;3935952.0;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15460
Quincaillerie de La Mer;FAC/2021/2183;2021-02-25;282570.02;282570.02;TRANOMBAROTRA MANJA;VQLM53988
Quincaillerie de La Mer;FAC/2021/2182;2021-02-25;484000.18;484000.18;TRANOMBAROTRA JMC (BAYA);VQLM54013
Quincaillerie de La Mer;FAC/2021/2181;2021-02-25;18720000.0;18720000.0;TRANOMBAROTRA JMC (BAYA);VQLM54007
Quincaillerie de La Mer;FAC/2021/2179;2021-02-25;1150092.0;1150092.0;MOURTAZA VALIBHAY;VQLM53973
Quincaillerie de La Mer;FAC/2021/2177;2021-02-25;1508.4;1508.4;EMCG SARLU;VQLM54033
Quincaillerie de La Mer;FAC/2021/2175;2021-02-25;65185.8;65185.8;EMCG SARLU;VQLM54030
Cheinmalt distribution;FAC/2021/1111;2021-02-25;7.2;7.2;QUINCAILLERIE ALMAZ;VCHD15495
Cheinmalt distribution;FAC/2021/1112;2021-02-25;3995308.8;3995308.8;LA COLOMBE;VCHD15492
Cheinmalt distribution;FAC/2021/1101;2021-02-25;11236.5;11236.5;CHEINMALT MAISON;VCHD15483
Cheinmalt distribution;FAC/2021/1109;2021-02-25;48600.0;48600.0;PRO SECURITY sarl;VCHD15494
Cheinmalt distribution;FAC/2021/1103;2021-02-25;3329010.9;3329010.9;FIBASOM;VCHD15428
Cheinmalt distribution;FAC/2021/1104;2021-02-25;591840.0;591840.0;BROOKESIA;VCHD15487
Cheinmalt distribution;FAC/2021/1107;2021-02-25;1372032.0;1372032.0;SMCM SARL;VCHD15490
Cheinmalt distribution;FAC/2021/1108;2021-02-25;129600.0;129600.0;PRO SECURITY sarl;VCHD15493
Quincaillerie de La Mer;FAC/2021/2160;2021-02-25;148000.03;148000.03;RUFFIN;VQLM54017
Cheinmalt distribution;FAC/2021/1106;2021-02-25;26399997.6;26399997.6;SIDEROS;VCHD15489
Cheinmalt distribution;FAC/2021/1105;2021-02-25;4850280.0;4850280.0;MACLAI CONSTRUCTION;VCHD15488
Cheinmalt distribution;FAC/2021/1054;2021-02-23;12190953.6;13832899.2;QUINCAILLERIE HOUSSENI ;VCHD15431
Quincaillerie de La Mer;FAC/2021/2153;2021-02-25;1500000.6;1500000.6;EMCG SARLU;VQLM54006
Quincaillerie de La Mer;FAC/2021/2152;2021-02-25;227619.98;227619.98;EMCG SARLU;VQLM54004
Cheinmalt distribution;FAC/2021/1100;2021-02-25;17820.0;17820.0;TAZ SARLU;VCHD15482
Quincaillerie de La Mer;FAC/2021/2150;2021-02-25;1050000.0;1050000.0;EMCG SARLU;VQLM54000
Quincaillerie de La Mer;FAC/2021/2148;2021-02-25;1756800.0;1756800.0;HOME MADAGASCAR CONSTRUCTION;VQLM53999
Quincaillerie de La Mer;FAC/2021/2145;2021-02-25;82500.0;82500.0;SNIT STE NOSIBEENNE;VQLM53998
